id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ember and Ash,Steinfeld Quartet,classical,melancholic,0.30,68,0.35,0.25,0.95
12,Block by Block,Drayke,hip-hop,confident,0.78,95,0.70,0.85,0.08
13,Slow Burn,Velvet Sunday,r&b,romantic,0.55,88,0.72,0.74,0.30
14,Old Pine Road,Hazel June,folk,nostalgic,0.38,84,0.58,0.42,0.88
15,Signal Rush,Wavelength,edm,euphoric,0.95,128,0.88,0.93,0.02
16,Iron Cathedral,Gravepath,metal,aggressive,0.97,168,0.22,0.55,0.04
17,Porch Light Blues,Cal Dexter,blues,sad,0.33,76,0.28,0.38,0.75
18,Gold in the Morning,Sable Monroe,soul,warm,0.62,96,0.79,0.68,0.55
